P41338 Q9UQW6
Q05911 O60105
P05373 P78974
P09950 O14092
P00812 Q10066
P04076 P50514
P38995 O59666
P11353 Q9UTE2
P09624 O00087
Q00578 O13768
Q12480 P78790
P08417 O94552
P08431 Q9HDU5
P51601 O13774
P49095 Q09785
P12709 P78917
Q08220 P35669
Q03834 O74502
P28789 Q09899
P04819-1 P12000
P38920 Q9P7W6
P25847 O74773
Q05788 Q9UTG1
P07991 Q9P7L5
P07283 Q9UTJ2
P40012 Q10062
P32347 Q9USJ5
P06839 P26659
P07277 Q09780
P00445 P28758
P48015 O14110
P49435 O42842
P05150 P31317
P00447 Q9UQX0
P41921-1 P78965
P17649 O13837
P39954 O13639
P07244 P20772
P15454 Q9P6I5
P32473 Q09171
P04050 P36594
P08518 Q02061
P16603 P36587
P10363 O14215
P20457 O74761
P14126 P40372
P49626 Q9P784
P0CX50 Q8TFH1
P24000 Q92354
P14120 Q9UTP0
P0CX28 Q9UTI8
P05750 O60128
P26783 Q9P3T6
Q08745 O13614
P0CX52 P0CT65
P0CX30 P0CT76
P38711 O74330
P21524 P36602
P06785 Q9UTI7
P38067 Q9US47
P19414 O13966
Q12434 O14224
P38147 P34208
P53904 Q10235
P33307 O13671
P25298 O14233
P04802 O74407
P53131 O42945
P33322 O14007
P07286 P42881
P40487 O59713
P32461 Q10206
P14741 Q9USP0
P15646 P35551
P32477 Q09768
P29055 O13749
Q04673 O74995
Q12004 O74366
P29056 Q9P6R0
P40825-2 O13914
P07170 P33075
P21182 Q9P7E3
P00830 P22068
P16140 P31411
P31412 Q9HDW6
P22203 O13687
P09457 O74479
P53852 Q09860
P39079 O94515
Q06549 Q09190
P32457 O36023
P06242 Q12126
P07259 Q09794
P38791 O94337
P19262 O94681
P32471 O74173
P42940 Q9UTH2
P08524 O14230
P29703 O60052
P38088-2 Q10179
P23542 O42652
P07263-1 O43011
P54839 P54874
P32589 O59838
P19882 Q09864
P34243 O94247
Q06142 O13864
P32337 O74476
Q08387 O74833
P40958 O14417
P24279 P30666
Q03290 O94684
P29952 O43014
Q07938 Q09816
P32377 O13963
P52920 O94442
P53971 O74853
Q07844 O14325
P08432 Q9UQW9
Q03497 P50527
P15873 Q03392
Q04493 O94307
P37012 O74374
P40961 Q9P7H3
P32363 P87172
P22543 P50520
Q12417 O13615
P15436 P30316
P15801 Q12704
P16370 P37382
P20434 Q09191
P34087 O14459
P36047 P22194
Q00772 Q92398
P53920 Q9P7S1
P40302 O14250
P23639 O94579
P21242 O59770
P23638 Q09682
P32379 Q9UT97
P21243 O94517
P40303 Q10329
P23724 Q9UQY2
P22141 Q09720
P25451 Q9Y7T8
P30657 Q9USQ9
P38624 O43063
P25043 Q09841
P40327 P36612
P33299 O42931
P33297 O14126
Q01939 P41836
P32565 O74762
P38764 P87048
P40016 O42897
Q08723 O74440
P40555 O94393
Q12377 Q9P7S2
Q12250 P0CU18
Q04062 Q9US13
P30771 Q09820
P38630 O60182
P38251 O94697
Q03195 O60102
P22336 Q92372
P53163 Q9USJ9
P21801 P21911
P43123 O94617
P32476 Q9C1W3
P20424 P21565
Q01590 O13644
P27692 O13936
P13393 P17871
P32462 Q09195
P04786 P07799
P02992 Q9Y700
P48363 Q10143
P30822 P14068
P50101 Q9UTT1
Q08032 O74113
P40066 P41838
Q06706 O59704
Q12341 Q9UTM7
P36421 O14055
Q12003 Q10078
P38249 O74760
P06103 Q10425
P32497 O14164
Q04067 P78795
P40217 P79083
Q08144 Q9P6P1
Q02948 P87117
O14467 O94700
P47057 O14243
P32602 Q9P4X4
P53312 O94415
P09798 P41889
P53303 O13724
P32501 P56287
P25337 O74772
P35181 Q9P7N2
Q08951 Q9UTL8
P52491 O74549
P15274 P50998
P38009 O74928
P07251 P24487
P23968 O14046
P38333 O60071
P47039 O14209
Q00381 Q9Y7L6
P20459 P56286
P26793 P39750
P39729 Q9UT21
P07278 P36600
Q00711 Q9UTJ7
P37291 O13972
Q12109 Q09692
P39111 O43046
P36048 O94316
P36037 O94289
P23797 Q9HDW9
P10507 Q9P7X1
Q07729 O14057
P40416 O14286
P32839 Q9P6Q3
P53622 Q96WV5
P19516 Q86ZU7
P39517 Q09181
Q08822 P87111
P18962 O14073
P15625 O42870
P29704 P36596
P32774 O74948
P15496 Q10132
P29469 P40377
P33893 Q9UT77
P20133 P46960
P23833 O42899
Q06217 O14036
P32939 O94655
P16522 O94556
P32366 O13753
P20053 Q9UTC7
Q06506 Q9P7C0
P12385 P79063
P38318 Q9USW4
P41811 O42937
P36775 Q09769
P22137 Q10161
