Q9UQW6	P41338
O60105	Q05911
P78974	P05373
O14092	P09950
Q10066	P00812
P50514	P04076
O59666	P38995
Q9UTE2	P11353
O00087	P09624
O13768	Q00578
P78790	Q12480
O94552	P08417
Q9HDU5	P08431
O13774	P51601
Q09785	P49095
P78917	P12709
P35669	Q08220
O74502	Q03834
Q09899	P28789
P12000	P04819-1
Q9P7W6	P38920
O74773	P25847
Q9UTG1	Q05788
Q9P7L5	P07991
Q9UTJ2	P07283
Q10062	P40012
Q9USJ5	P32347
P26659	P06839
Q09780	P07277
P28758	P00445
O14110	P48015
O42842	P49435
P31317	P05150
Q9UQX0	P00447
P78965	P41921-1
O13837	P17649
O13639	P39954
P20772	P07244
Q9P6I5	P15454
Q09171	P32473
P36594	P04050
Q02061	P08518
P36587	P16603
O14215	P10363
O74761	P20457
P40372	P14126
Q9P784	P49626
Q8TFH1	P0CX50
Q92354	P24000
Q9UTP0	P14120
Q9UTI8	P0CX28
O60128	P05750
Q9P3T6	P26783
O13614	Q08745
P0CT65	P0CX52
P0CT76	P0CX30
O74330	P38711
P36602	P21524
Q9UTI7	P06785
Q9US47	P38067
O13966	P19414
O14224	Q12434
P34208	P38147
Q10235	P53904
O13671	P33307
O14233	P25298
O74407	P04802
O42945	P53131
O14007	P33322
P42881	P07286
O59713	P40487
Q10206	P32461
Q9USP0	P14741
P35551	P15646
Q09768	P32477
O13749	P29055
O74995	Q04673
O74366	Q12004
Q9P6R0	P29056
O13914	P40825-2
P33075	P07170
Q9P7E3	P21182
P22068	P00830
P31411	P16140
Q9HDW6	P31412
O13687	P22203
O74479	P09457
Q09860	P53852
O94515	P39079
Q09190	Q06549
O36023	P32457
Q12126	P06242
Q09794	P07259
O94337	P38791
O94681	P19262
O74173	P32471
Q9UTH2	P42940
O14230	P08524
O60052	P29703
Q10179	P38088-2
O42652	P23542
O43011	P07263-1
P54874	P54839
O59838	P32589
Q09864	P19882
O94247	P34243
O13864	Q06142
O74476	P32337
O74833	Q08387
O14417	P40958
P30666	P24279
O94684	Q03290
O43014	P29952
Q09816	Q07938
O13963	P32377
O94442	P52920
O74853	P53971
O14325	Q07844
Q9UQW9	P08432
P50527	Q03497
Q03392	P15873
O94307	Q04493
O74374	P37012
Q9P7H3	P40961
P87172	P32363
P50520	P22543
O13615	Q12417
P30316	P15436
Q12704	P15801
P37382	P16370
Q09191	P20434
O14459	P34087
P22194	P36047
Q92398	Q00772
Q9P7S1	P53920
O14250	P40302
O94579	P23639
O59770	P21242
Q09682	P23638
Q9UT97	P32379
O94517	P21243
Q10329	P40303
Q9UQY2	P23724
Q09720	P22141
Q9Y7T8	P25451
Q9USQ9	P30657
O43063	P38624
Q09841	P25043
P36612	P40327
O42931	P33299
O14126	P33297
P41836	Q01939
O74762	P32565
P87048	P38764
O42897	P40016
O74440	Q08723
O94393	P40555
Q9P7S2	Q12377
P0CU18	Q12250
Q9US13	Q04062
Q09820	P30771
O60182	P38630
O94697	P38251
O60102	Q03195
Q92372	P22336
Q9USJ9	P53163
P21911	P21801
O94617	P43123
Q9C1W3	P32476
P21565	P20424
O13644	Q01590
O13936	P27692
P17871	P13393
Q09195	P32462
P07799	P04786
Q9Y700	P02992
Q10143	P48363
P14068	P30822
Q9UTT1	P50101
O74113	Q08032
P41838	P40066
O59704	Q06706
Q9UTM7	Q12341
O14055	P36421
Q10078	Q12003
O74760	P38249
Q10425	P06103
O14164	P32497
P78795	Q04067
P79083	P40217
Q9P6P1	Q08144
P87117	Q02948
O94700	O14467
O14243	P47057
Q9P4X4	P32602
O94415	P53312
P41889	P09798
O13724	P53303
P56287	P32501
O74772	P25337
Q9P7N2	P35181
Q9UTL8	Q08951
O74549	P52491
P50998	P15274
O74928	P38009
P24487	P07251
O14046	P23968
O60071	P38333
O14209	P47039
Q9Y7L6	Q00381
P56286	P20459
P39750	P26793
Q9UT21	P39729
P36600	P07278
Q9UTJ7	Q00711
O13972	P37291
Q09692	Q12109
O43046	P39111
O94316	P36048
O94289	P36037
Q9HDW9	P23797
Q9P7X1	P10507
O14057	Q07729
O14286	P40416
Q9P6Q3	P32839
Q96WV5	P53622
Q86ZU7	P19516
Q09181	P39517
P87111	Q08822
O14073	P18962
O42870	P15625
P36596	P29704
O74948	P32774
Q10132	P15496
P40377	P29469
Q9UT77	P33893
P46960	P20133
O42899	P23833
O14036	Q06217
O94655	P32939
O94556	P16522
O13753	P32366
Q9UTC7	P20053
Q9P7C0	Q06506
P79063	P12385
Q9USW4	P38318
O42937	P41811
Q09769	P36775
Q10161	P22137
O94616	P07703
Q9Y7L0	P22214
Q9USS7	P38810
Q9HGP5	P13517
O74456	P17157
O42643	P24384
Q9Y7K2	P32600
O14077	Q06010
O74690	P39990
O74918	Q05636
Q9C1X1	P25635
Q9Y7Y8	P13188
O42858	P39706
Q92353	P43593
O74754	P38077
O13742	P32563
P36617	P06777
O13962	Q00873
O74810	P21734
P36604	P16474
Q96WV1	Q12009
Q92368	P53829
O42649	P47037
Q9P4X3	P40055
Q9USP5	P49018
P41004	Q12267
Q9HFE5	Q00776
O42939	P52488
P79064	Q06624
Q9USP8	P28241
Q9UUE6	P15180
Q09683	P32829
O94660	P47016
O42849	P15624
Q92352	P33204
Q9Y7J4	Q05933
Q9UUJ1	P32381
O36021	Q12176
O59711	P38999
Q09870	Q08096
Q9Y7I4	P38179
P41878	P43588
Q8WZJ9	Q12520
Q09905	P47064
Q10071	P47154
O75001	P38132
Q10415	P35999
Q10258	P53128
O74341	P39077
Q09154	P08067
Q9P7N5	Q05791
O94296	P39524
Q10281	P38011
O14399	Q03919
Q9P7Q4	P18759
O74448	P22696
P87154	P21951
O74635	P27999
O43049	P53043
O74536	P06782
O75005	P07806-1
O94383	P32908
Q10107	Q06287
P87130	P39515
O60084	Q01852
O74873	P15303
O59809	P46970
O94514	Q12460
O43069	P38862
Q10236	P53942
P78774	P38328
O59682	P25045
Q9P7V5	P11075
P87153	P42943
P50999	P39078
Q10147	P39076
P41003	P38989
O14187	P33334
Q9USN3	Q05946
O94553	P32910
O74894	P33298
O14018	P07284
Q10319	P53930
O42857	P39923
O60073	P36015
O74952	P08425
P78921	P47079
O94692	Q12464
Q09751	P50107
Q9UT61	P22855
O42700	P15019
P78811	P32861
O13747	P38748
P87177	Q12220
Q9USI5	P15705
O13946	P54837
O60072	P53327
O60085	P38174
O13642	P32875
P05501	P00163
P07657	P00401
P21534	P00410
O13696	P28834
O94457	P32353
O13282	P38129
Q9UT11	P40544
Q09775	P45818
O00103	P52492
O74777	P25586
O94666	P04051
Q9P775	P21304
O42634	P25453
Q9P3A7	P25694
O94267	P32558
Q9P6Q1	P38197
O94663	Q12483
Q09747	P20449
Q09805	P38932
O42906	P47122
O94550	P50085
Q9UTE6	P10962
O14324	Q05359
Q9Y7R3	P38170
O13651	P09436
Q9P7M9	P38066
O94302	P38206
Q9UUJ9	P32316
Q9P7P0	P32784
O42893	P32356
O43091	P18900
P19117	P00817
O14035	Q04895
O13998	P38219
Q10488	P38071
Q9UTQ1	P38075
O36015	P38238
O13933	P16661
Q9P791	Q01976-1
P40976	P07702
P40387	Q00764
Q9P7X4	P38288
Q9P780	P33755
Q9UUA4	P33754
O60160	P27810
O14172	P15807
Q9UUE1	P32327
Q9US55	P38138
O60146	P38329
O94303	P33734
Q9USZ5	P38334
Q9Y7P0	P38145
O13748	P38340
O74351	P25374
Q9HDW1	P25578
Q10358	P25560
Q9UUM7	P25343
Q9HDZ2	P25618
Q09839	P23060
O60116	P25332
Q9P6N9	P25625
Q10162	P25627
Q42598	P16120
O13997	P25637
O74855	P25382
P36597	Q07748
Q00472	P19881
O94601	P35197
O14274	Q07648
Q9USN5	P33327
Q9P7H0	P32495
O94652	Q12315
O74439	P38988
Q9Y7K8	Q12063
Q9Y823	Q12122
Q9C1X2	P46681
Q9C102	Q12680
Q9UU88	Q12055
Q9P6N6	Q07534
O14121	P40215
O74175	Q12690
P40984	P50623
